"Industry","Short.name","Ticker","abs.change","percent.change","norm.per.change","Market.Cap.Nov5","Market.Cap.Nov7","P.E.Nov5","P.E.Nov7","Total.Return.Nov5","Total.Return.Nov7","Revenue.T12M.Nov5","Revenue.T12M.Nov7","EPS.T12M.Nov5","EPS.T12M.Nov7","percent.change.by.industry","sd"
"Consumer D","CBS CORP-B","CBS US Equity",-4.062802,-19.8302287645263,-12.8882061833031,27145873408,21764079616,20.487923,16.425121,11.458609,26.494686,14601999872,14601999872,2.4,2.4,-6.94202258122315,15.7560360301773
"Consumer D","HARLEY-DAVIDSON","HOG US Equity",-2.11978,-11.2096031002634,-4.26758051904025,11937367040,10599635968,18.910393,16.790613,8.048324,20.892452,5580506112,5593576064,2.73,2.88,-6.94202258122315,15.7560360301773
"Consumer D","COACH INC","COH US Equity",2.16953,15.7918466138294,22.7338691950526,14147612672,16156136448,13.738292,15.907822,-10.160331,-5.527841,4929296000,4874171008,3.69,3.64,-6.94202258122315,15.7560360301773
"Consumer D","NORDSTROM INC","JWN US Equity",1.318333,7.82102446152086,14.763047042744,11029199872,11507030016,16.85627,18.174603,3.028035,16.904078,11711999744,11381999872,3.34,3.21,-6.94202258122315,15.7560360301773
"Consumer D","WYNN RESORTS LTD","WYNN US Equity",-4.36252,-18.1929885023342,-11.250965921111,12710502400,11160972288,23.979128,19.616608,12.33888,9.289065,5154284032,5209063040,4.86,5.28,-6.94202258122315,15.7560360301773
"Consumer D","LEGGETT & PLATT","LEG US Equity",-1.678773,-8.00497147813498,-1.06294889691183,4177661696,3808409856,20.97163,19.292857,8.63336,21.729812,3721899968,3721899968,1.28,1.28,-6.94202258122315,15.7560360301773
"Consumer D","MCGRAW-HILL COS","MHP US Equity",-1.94562,-11.0387419776189,-4.09671939639575,16218520576,14428199936,17.625378,15.679758,6.713009,17.312004,6351000064,6351000064,3.09,3.09,-6.94202258122315,15.7560360301773
"Consumer D","YUM! BRANDS INC","YUM US Equity",1.876971,9.02472037479179,15.9667429560149,29787744256,32476004352,20.798107,22.675078,-0.194676,24.025016,13591000064,13591000064,3.49,3.49,-6.94202258122315,15.7560360301773
"Consumer S","KIMBERLY-CLARK","KMB US Equity",-1.042049,-6.07794380581077,-0.709453752065718,35219615744,32811499520,17.144762,16.102713,6.609027,16.209936,21063000064,20932000256,4.45,4.78,-5.36849005374505,6.08241645441448
"Consumer S","CLOROX CO","CLX US Equity",-1.426888,-7.64275464355214,-2.27426458980709,10327932928,9538593792,18.669813,17.242925,9.01301,13.726319,5500999808,5500999808,4.17,4.17,-5.36849005374505,6.08241645441448
