EMPLOYER,CAND_PTY_AFFILIATION,TRANSACTION_AMT
WHIRLPOOL CORP,DEM,250
WHIRLPOOL CORP,REP,250
WHIRLPOOL CORP,REP,2500
WHOLE FOODS MKT,DEM,9825
WHOLE FOODS MKT,REP,15951
WISCONSIN ENERGY,DEM,500
WISCONSIN ENERGY,REP,2500
WASTE MANAGEMENT,DEM,10000
NORTHROP GRUMMAN,REP,2500
WPX ENERGY,REP,8150
WPX ENERGY,REP,250
WW GRAINGER INC,DEM,250
WYNDHAM WORLDWID,DEM,4500
WYNDHAM WORLDWID,REP,1000
XCEL ENERGY INC,DEM,200
XEROX CORP,DEM,1400
XEROX CORP,REP,550
XEROX CORP,DEM,1466
XILINX INC,REP,250
XILINX INC,DEM,4125
XYLEM INC,DEM,500
XYLEM INC,REP,500
YAHOO! INC,DEM,500
YAHOO! INC,DEM,3200
YAHOO! INC,REP,1000
YAHOO! INC,REP,1401
YAHOO! INC,DEM,4093
YUM! BRANDS INC,REP,45000
YUM! BRANDS INC,REP,1000
YUM! BRANDS INC,REP,250
ZIONS BANCORP,DEM,250
